,commit-hash,BleuScore
0,0c023115abd8955c033517a1f9c551ea6ea8a10b,6.466558133769387e-232
1,0c023115abd8955c033517a1f9c551ea6ea8a10b,9.617706375863457e-232
2,0c023115abd8955c033517a1f9c551ea6ea8a10b,8.460552185460498e-232
3,0c023115abd8955c033517a1f9c551ea6ea8a10b,9.533966891110756e-232
4,de7311be6fdbb0a4ecfe8b84beb10083cace5d8d,9.109159947227211e-232
5,de7311be6fdbb0a4ecfe8b84beb10083cace5d8d,8.029654430073048e-232
6,de7311be6fdbb0a4ecfe8b84beb10083cace5d8d,7.31380102804205e-232
7,de7311be6fdbb0a4ecfe8b84beb10083cace5d8d,9.557951902988592e-232
8,de7311be6fdbb0a4ecfe8b84beb10083cace5d8d,8.950284286796655e-232
9,105af9556d1c54a4e1e454e8bf079dfe0b96e061,9.834278082278139e-232
10,105af9556d1c54a4e1e454e8bf079dfe0b96e061,9.235413972818236e-232
11,105af9556d1c54a4e1e454e8bf079dfe0b96e061,9.235413972818236e-232
12,105af9556d1c54a4e1e454e8bf079dfe0b96e061,9.073920756966359e-232
13,105af9556d1c54a4e1e454e8bf079dfe0b96e061,8.444234747540162e-232
14,105af9556d1c54a4e1e454e8bf079dfe0b96e061,9.073920756966359e-232
15,105af9556d1c54a4e1e454e8bf079dfe0b96e061,9.594503055152632e-232
16,105af9556d1c54a4e1e454e8bf079dfe0b96e061,8.669612184277444e-232
17,105af9556d1c54a4e1e454e8bf079dfe0b96e061,9.594503055152632e-232
18,527bd7f43f8dd8d0eba6621f0cc826635060156e,9.929306298309508e-232
19,527bd7f43f8dd8d0eba6621f0cc826635060156e,9.929306298309508e-232
20,bee966e56f922cda684ae586b2fc3d3eb6acd1e9,1.0545082357000832e-231
21,bee966e56f922cda684ae586b2fc3d3eb6acd1e9,0.0
22,b8f9c9dedb125eddf9f851fc1dcc0dbacb055f03,9.005433441115789e-232
