,Commit_id,Statements,Misses,Coverage
0,0c023115abd8955c033517a1f9c551ea6ea8a10b,63,41,35
1,0c023115abd8955c033517a1f9c551ea6ea8a10b,63,41,35
2,0c023115abd8955c033517a1f9c551ea6ea8a10b,63,41,35
3,de7311be6fdbb0a4ecfe8b84beb10083cace5d8d,83,48,42
4,de7311be6fdbb0a4ecfe8b84beb10083cace5d8d,128,78,39
5,105af9556d1c54a4e1e454e8bf079dfe0b96e061,22,20,9
6,105af9556d1c54a4e1e454e8bf079dfe0b96e061,68,53,22
7,527bd7f43f8dd8d0eba6621f0cc826635060156e,25,4,84
8,bee966e56f922cda684ae586b2fc3d3eb6acd1e9,29,7,76
9,bee966e56f922cda684ae586b2fc3d3eb6acd1e9,37,28,24
10,b8f9c9dedb125eddf9f851fc1dcc0dbacb055f03,11,8,27
